symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
ADTN,2016,739428003.1333332,17.241108333333333,0.1312715298175436,0.01319962232197052,0.013636948966756232,0.43000144943290936,0.06419421471577777,0.04215452455204709,0.021039569820279998,0.9791164499940728,0.8670721905596961
ADTN,2015,663615377.3166666,15.227841666666665,0.13220958759202592,0.0073652560261903855,0.005615650997226961,0.2291528731226261,0.039637417846404364,0.02470777034634949,0.0244467261139012,1.0,0.4615384615384616
AEY,2019,16646743.533700004,1.7604750000000002,0.4707299639775247,-0.03599430780813821,-0.018034455962962718,-1.0,-0.23837677272835384,-0.29069143339739195,0.0,0.7870557913032759,-1.0
AEY,2018,10942043.306666667,1.3653333333333333,0.2894104003906252,-0.04122040012956525,-0.027383322562601627,-1.0,-0.4982586750208049,-0.5201967036413713,0.0,0.6419995594410924,-0.9645837174057428
AEY,2017,14636504.925,1.615,-0.15459236326109393,-0.000447220986221732,0.0007472531469864789,0.01653476495482879,0.009948139992854202,-0.0059410298143574855,0.0,0.5223594810396404,0.015898187659453014
AEY,2016,17191071.99633334,1.7991333333333337,-0.10234557379479027,0.001462968834804553,0.0022234348864079347,0.04962532611826271,0.0412532156314197,0.016133690640578034,0.0,0.9504925837432004,0.07705229373846285
ACOR,2018,6475175000.0,139.96,-0.6770863103743927,0.006478972289803688,0.020409050702857038,0.030610044640255487,0.006489399900388793,0.005120307929925267,0.0,1.0,0.9458425246477288
ACOR,2017,5823572000.0,126.0125,0.11068346394206928,-0.046612015836803786,-0.09893725341542478,-0.17429473784904387,-0.040047757630540165,-0.03853292677141243,0.0,1.0,-1.0
ACOR,2016,7093363369.825,151.6625,-0.16912552542652265,-0.006447347346228773,-0.017312322339641383,-0.019857224848492328,-0.00362888500954309,-0.0049968609976828475,0.004033805460778925,0.7759311972197619,-0.546564464073382
ACOR,2015,9011022000.000002,206.20000000000005,-0.26448836081474314,0.002487640534368043,0.017248203629277797,0.038838598140137966,0.005026066965545084,0.0012188078652676131,0.0,1.0,1.0
AESE,2018,117586170.0,9.809991666666667,-0.2458573274357183,0.002016932762755068,-1.0,-1.0,-0.007005747359574685,0.009694189342668486,0.0,0.157920880079545,-0.16693003025810574
AESE,2017,51822430.0,9.625,0.01921991341991344,-0.03242367145384789,-0.32072011085199553,-0.18759943153865305,-0.338479534826908,-0.6263976103896104,0.0,0.20727931140564665,-1.0
AEO,2019,2606330617.400001,17.582150000000002,-0.2819677911973224,0.03439963055157725,0.02088406777477129,1.0,0.13240837432369254,0.0863851106904763,0.032034811133901726,0.5729795722802199,1.0
AEO,2018,3252809037.333333,20.677333333333333,-0.14968967629610513,0.02810129641752275,0.019943623438928068,1.0,0.08828461698920563,0.055684533291888036,0.024151065834309364,0.5876878783069982,1.0
AEO,2017,1963149545.683333,12.874891666666665,0.6060199859286844,0.02979381934861387,0.022956260137151945,1.0,0.17077761637527314,0.09072183701614664,0.03872296965683142,0.5496169369945907,1.0
AEO,2016,2341011847.1249995,14.43960833333333,-0.10836281916695566,0.033825173081527264,0.022706686943899903,1.0,0.13749225592142572,0.08386443196103427,0.037383334268193034,0.4509523768444753,1.0
AAXN,2018,2703790237.583334,51.91666666666668,0.1860674157303367,0.01014710787447536,0.014783915937419656,1.0,0.009187473071950676,0.0095652103814115,0.0,1.0,1.0
AAXN,2017,1200342103.8175,24.2075,1.1446521394884508,0.003850055602877153,0.00946995037783815,1.0,0.01084940698037867,0.004060773238059965,0.0,0.7398193608151922,1.0
AAXN,2016,1125041427.5758333,23.200833333333332,0.043389246075931226,0.01554574116615078,0.02968461667505452,1.0,0.028310957462811374,0.014248064774781181,0.0,0.9123002601263472,1.0
AAXN,2015,1240324052.6,25.14375,-0.0772723506504268,0.02167752010822991,0.0446392476704465,1.0,0.0284885227581694,0.014764933059188263,0.0,1.0,1.0
AAWW,2018,3502465895.4775,59.9675,-0.3633217993079584,0.012221190967971337,0.02647229512825071,0.04806861707940513,0.12106470488335523,0.17631271132973025,0.0,0.3750802523562092,0.5586833242860079
AAWW,2017,3176582226.425,57.80416666666667,0.03742521444532546,0.011274074950024842,0.028052224479007258,0.02932259055077746,0.07418979998047415,0.1528533445349389,0.0,0.3931012353167361,0.3797319463377064
AAWW,2016,2581078474.5,42.25,0.3681459566074951,0.0025089001946847693,0.02287297914196737,0.02560845827641832,0.06615567937471481,0.04032721671097759,0.0,0.2953671232779761,0.3208617547024447
AAWW,2015,2405491841.3475,45.05583333333334,-0.06227458523683591,0.0004373976293840918,0.016940223047756053,0.011281416220155813,0.03263740023995305,0.006563817068413763,0.0,0.5780789709372213,0.1524209831482488
AGFS,2018,690308678.9466668,6.444166666666668,-0.5891633260054313,-0.008356620300304575,0.010269260456635306,0.003778908556782925,0.008765643812030792,-0.0925345379080992,0.0,0.9235149132659428,0.07402740396378762
AGFS,2017,635597736.9649999,5.9049999999999985,0.09130680214507507,0.00596763022711116,0.062159352785534,0.033967280011318705,0.08612050801404006,0.07895708772527214,0.0,0.8170997042670046,0.6265653258853964
AGFS,2016,571261819.2583332,5.108333333333333,0.15595432300163115,-0.028876298863998742,-0.0577037496320513,-0.02563670321449564,-0.07054733686267115,-0.436501102966362,0.0,0.8002167853824713,-0.2741974989454204
AGFS,2015,695896000.0,6.9475000000000025,-0.264723521650474,-0.006579542872554435,-0.020260986914015986,0.022206989571514013,0.0518611976502236,-0.08202662828355523,0.0,1.0,0.6573291563456215
F,2018,103301557916.66667,9.137708333333334,-0.02462232963224745,0.003583261869494036,0.4950058626152253,0.7879933704508689,0.0,0.10064994650490927,0.07951811112231749,0.5411221211899256,1.0
